level_index,shot_index,bird_start_x,bird_start_y,target_original_idx,angle_deg,velocity,destroyed_original_indices
19,1,0.4372967494104586,0.24365554499169984,1,66.2864535410842,8.660757154570714,2|5|8|10|11
19,2,0.3645724735690856,0.08271736275687736,1,66.27284106188674,8.76010080257618,2|5|8|10|11
19,3,0.8704748864341179,0.13133381826053603,1,69.620845989052,8.627589176944644,2|5|8|10|11
19,4,0.7437220755205661,0.10544063531997028,1,68.8000075354128,8.666800930360091,2|5|8|10|11
20,0,0.4874166288661399,0.9986662650533201,5,7.30211512130408,11.351774449595496,0|1|2|5|6|7|8|9|10|11|12|14
20,1,0.833465611375497,0.5979161586786305,13,9.60330117853173,9.35423631353273,0|1|2|5|6|7|8|9|10|11|12|14
20,2,0.1643927587192353,0.7746097082102008,13,7.890531462164733,9.68089677485501,0|1|2|5|6|7|8|9|10|11|12|14
20,3,0.16390081410499813,0.4396945925336495,13,9.867296664134901,9.70727530532055,0|1|2|5|6|7|8|9|10|11|12|14
21,0,0.039071911543630766,0.5144561862716907,0,45.130636938187735,6.22726965609536,0|1|2|4|5|6|7|10|11|12|13|14
21,1,0.06208701813825024,0.5217468069375931,3,27.254429050435636,10.149712744963592,0|1|2|4|5|6|7|10|11|12|13
21,2,0.09885663913842213,0.7868036219452786,3,26.044329740802407,10.076181942594427,
21,3,0.11574486021621522,0.5542647133429496,3,27.230655982122034,10.11945029520943,
22,0,0.02298824680777234,0.9395567214216234,1,20.103381019939143,11.836167553711524,0|2|3|4|5|6|7|8|9|10|11|13|14
22,1,0.8993842827890435,0.04141166835050425,1,24.85145747044021,11.641298912484137,0|2|3|4|5|6|7|8|9|10|11|13|14
22,2,0.3396253257410665,0.3788808515380855,1,22.666916893902584,11.798676839674437,0|2|3|4|5|6|7|8|9|10|11|13|14
22,3,0.2950342194315101,0.5406182103863529,1,21.994653357452158,11.790282305811287,0|2|3|4|5|6|7|8|9|10|11|13|14
23,0,0.07668344302394747,0.12485839205834004,11,51.47249881375115,4.316864216463305,0|1|2|3|5|6|7|8|9|11|12|13
23,1,0.2686713616943358,0.7002917593721819,14,44.21170409828534,10.957527165192568,
23,2,0.5697149459864935,0.9348160232846426,10,38.505411173973314,8.157216549272839,
24,0,0.5440881551805845,0.021090819670298244,2,27.159663114731703,4.679645256770784,0|1|2|3|4|5|6|7|8|9|10|12|13|14
24,1,0.4086377725439907,0.11471228469532169,11,62.90446607894669,9.225693068396106,0|3|4|5|6|7|8|9|10|12|13|14
24,2,0.5093321660672423,0.3399260598152767,11,62.81663275650618,9.09390904018842,
25,0,0.3157305026755166,0.5701548960573352,13,6.025784468284068,10.92935779702164,0|2|3|6|7|9|11|13|14
25,1,0.42040466016728895,0.7050546192357792,1,46.1407731864469,6.188245110740325,
25,2,0.16113938619420876,0.9743443777201969,8,68.253774496254,9.20104653571961,
26,0,0.4624402861896222,0.8601170263437422,2,8.805127946272739,11.83796681065195,0|1|2|3|4|5|7|8|9|11|12|13|14
